County,id2,Population,Deaths,rate,high_rate,low_rate
"Abbeville County, South Carolina",45001,24872,36.0,0.00014474107430041813,0,0
"Acadia Parish, Louisiana",22001,62645,58.0,9.258520233059303e-05,0,0
"Accomack County, Virginia",51001,32947,24.0,7.284426503171761e-05,0,0
"Ada County, Idaho",16001,444028,368.0,8.287765636401308e-05,0,0
"Adair County, Iowa",19001,7092,0.0,0.0,0,1
"Adair County, Kentucky",21001,19280,19.0,9.854771784232365e-05,0,0
"Adair County, Missouri",29001,25359,23.0,9.069758271225206e-05,0,0
"Adair County, Oklahoma",40001,22098,0.0,0.0,0,1
"Adams County, Colorado",8001,498187,315.0,6.322926933059273e-05,0,0
"Adams County, Idaho",16003,3900,0.0,0.0,0,1
"Adams County, Illinois",17001,66578,47.0,7.05938898735318e-05,0,0
"Adams County, Indiana",18001,35232,11.0,3.122161671207993e-05,0,0
"Adams County, Iowa",19003,3693,0.0,0.0,0,1
"Adams County, Mississippi",28001,31248,30.0,9.600614439324117e-05,0,0
"Adams County, Nebraska",31001,31684,21.0,6.627951016285823e-05,0,0
"Adams County, North Dakota",38001,2305,0.0,0.0,0,1
"Adams County, Ohio",39001,27907,37.0,0.0001325832228473143,0,0
"Adams County, Pennsylvania",42001,102180,74.0,7.24212174593854e-05,0,0
"Adams County, Washington",53001,19238,0.0,0.0,0,1
"Adams County, Wisconsin",55001,20069,23.0,0.0001146046140814191,0,0
"Addison County, Vermont",50001,36959,25.0,6.764252279553019e-05,0,0
"Aiken County, South Carolina",45003,167458,171.0,0.00010211515723345555,0,0
"Aitkin County, Minnesota",27001,15583,0.0,0.0,0,1
"Alachua County, Florida",12001,263496,166.0,6.299905880924188e-05,0,0
"Alamance County, North Carolina",37001,159688,85.0,5.322879615249737e-05,0,0
"Alameda County, California",6001,1647704,472.0,2.8645921840330545e-05,0,0
"Alamosa County, Colorado",8003,16654,24.0,0.00014410952323766062,0,0
"Albany County, New York",36001,308846,69.0,2.234123155229467e-05,0,0
"Albany County, Wyoming",56001,38256,19.0,4.9665411961522376e-05,0,0
"Albemarle County, Virginia",51003,106878,64.0,5.988136005539026e-05,0,0
"Alcona County, Michigan",26001,10352,13.0,0.00012557959814528594,0,0
"Alcorn County, Mississippi",28003,37304,31.0,8.310100793480592e-05,0,0
"Aleutians East Borough, Alaska",2013,3296,0.0,0.0,0,1
"Aleutians West Census Area, Alaska",2016,5647,0.0,0.0,0,1
"Alexander County, Illinois",17003,6478,0.0,0.0,0,1
"Alexander County, North Carolina",37003,37428,37.0,9.88564710911617e-05,0,0
"Alexandria city, Virginia",51510,155810,25.0,1.6045183235992554e-05,0,0
