County,id2,Population,Deaths,rate,high_rate,low_rate
"Abbeville County, South Carolina",45001,24872,0.0,0.0,0,1
"Acadia Parish, Louisiana",22001,62645,24.0,3.831111820576263e-05,0,0
"Accomack County, Virginia",51001,32947,0.0,0.0,0,1
"Ada County, Idaho",16001,444028,287.0,6.463556352302107e-05,0,0
"Adair County, Iowa",19001,7092,0.0,0.0,0,1
"Adair County, Kentucky",21001,19280,0.0,0.0,0,1
"Adair County, Missouri",29001,25359,0.0,0.0,0,1
"Adair County, Oklahoma",40001,22098,0.0,0.0,0,1
"Adams County, Colorado",8001,498187,388.0,7.788240158815867e-05,1,0
"Adams County, Idaho",16003,3900,0.0,0.0,0,1
"Adams County, Illinois",17001,66578,25.0,3.754994142209138e-05,0,0
"Adams County, Indiana",18001,35232,0.0,0.0,0,1
"Adams County, Iowa",19003,3693,0.0,0.0,0,1
"Adams County, Mississippi",28001,31248,0.0,0.0,0,1
"Adams County, Nebraska",31001,31684,0.0,0.0,0,1
"Adams County, North Dakota",38001,2305,0.0,0.0,0,1
"Adams County, Ohio",39001,27907,11.0,3.941663381947182e-05,0,0
"Adams County, Pennsylvania",42001,102180,47.0,4.599725973771775e-05,0,0
"Adams County, Washington",53001,19238,0.0,0.0,0,1
"Adams County, Wisconsin",55001,20069,13.0,6.477652100254123e-05,0,0
"Addison County, Vermont",50001,36959,10.0,2.7057009118212074e-05,0,0
"Aiken County, South Carolina",45003,167458,62.0,3.7024209055404935e-05,0,0
"Aitkin County, Minnesota",27001,15583,0.0,0.0,0,1
"Alachua County, Florida",12001,263496,110.0,4.174636427118438e-05,0,0
"Alamance County, North Carolina",37001,159688,54.0,3.381594108511598e-05,0,0
"Alameda County, California",6001,1647704,929.0,5.6381485995057363e-05,0,0
"Alamosa County, Colorado",8003,16654,13.0,7.805932508706617e-05,1,0
"Albany County, New York",36001,308846,186.0,6.022418940183781e-05,0,0
"Albany County, Wyoming",56001,38256,10.0,2.6139690506064407e-05,0,0
"Albemarle County, Virginia",51003,106878,14.0,1.309904751211662e-05,0,0
"Alcona County, Michigan",26001,10352,0.0,0.0,0,1
"Alcorn County, Mississippi",28003,37304,10.0,2.68067767531632e-05,0,0
"Aleutians East Borough, Alaska",2013,3296,0.0,0.0,0,1
"Aleutians West Census Area, Alaska",2016,5647,0.0,0.0,0,1
"Alexander County, Illinois",17003,6478,0.0,0.0,0,1
"Alexander County, North Carolina",37003,37428,12.0,3.206155819172812e-05,0,0
"Alexandria city, Virginia",51510,155810,63.0,4.043386175470124e-05,0,0
